"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3Ddeep+learning+fundus",2017/09/18 11:27:43
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Advanced deep learning for blood vessel segmentation in retinal fundus images","Lua Ngo; Jae-Ho Han","Dept. Brain and Cognitive Engineering, Korea University, Seoul, South Korea","2017 5th International Winter Conference on Brain-Computer Interface (BCI)","20170220","2017","","","91","92","Rising of deep learning methodologies draws huge attention to their application in image processing and classification. Catching up the trends, this study briefly presents state-of-the-art of deep learning applications in medical imaging interfered with achievements of blood vessel segmentation methods in neurosensory retinal fundus images. Successful segmentation based on deep learning offers advantage in diagnosing ophthalmological disease or pathology.","","Electronic:978-1-5090-5096-3; POD:978-1-5090-5097-0","10.1109/IWW-BCI.2017.7858169","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7858169","Biomedical optical imaging;blood vessels;fundus images;image segmentation;medical image processing","","blood vessels;image segmentation;learning (artificial intelligence);medical image processing","advanced deep learning methodologies;blood vessel segmentation methods;image classification;image processing;ophthalmological disease;pathology;retinal fundus images","","","","","","","","9-11 Jan. 2017","","IEEE","IEEE Conference Publications"
"A Deep Learning Method for Microaneurysm Detection in Fundus Images","J. Shan; L. Li","Dept. of Comput. Sci., Pace Univ. New York City, New York, NY, USA","2016 IEEE First International Conference on Connected Health: Applications, Systems and Engineering Technologies (CHASE)","20160818","2016","","","357","358","Diabetic Retinopathy (DR) is the leading cause of blindness in the working-age population. Microaneurysms (MAs), due to leakage from retina blood vessels, are the early signs of DR. However, automated MA detection is complicated because of the small size of MA lesions and the low contrast between the lesion and its retinal background. Recently deep learning (DL) strategies have been used for automatic feature extraction and classification problems, especially for image analysis. In this paper, a Stacked Sparse Autoencoder (SSAE), an instance of a DL strategy, is presented for MA detection in fundus images. Small image patches are generated from the original fundus images. The SSAE learns high-level features from pixel intensities alone in order to identify distinguishing features of MA. The high-level features learned by SSAE are fed into a classifier to categorize each image patch as MA or non-MA. The public benchmark DIARETDB is utilized to provide the training/testing data and ground truth. Among the 89 images, totally 2182 image patches with MA lesions, serve as positive data, and another 6230 image patches without MA lesions are generated by a randomly sliding window operation, to serve as negative data. Without any blood vessel removal or complicated preprocessing operations, SSAE learned directly from the raw image patches, and automatically extracted the distinguishing features to classify the patches using Softmax Classifier. By employing the fine-tuning operation, an improved F-measure 91.3% and an average area under the ROC curve (AUC) 96.2% were achieved using 10-fold cross-validation.","","Electronic:978-1-5090-0943-5; POD:978-1-5090-0944-2","10.1109/CHASE.2016.12","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7545864","automated microaneurysm detection;deep learning;diabetic retinopathy;feature representation;stacked sparse autoencoder","Biomedical image processing;Conferences;Feature extraction;Lesions;Machine learning","blood vessels;diseases;feature extraction;image classification;learning (artificial intelligence);medical image processing","10-fold cross-validation;DIARETDB public benchmark;DR;F-measure;SSAE;automated MA detection;automatic feature extraction;blindness;classification problems;deep learning method;diabetic retinopathy;fine-tuning operation;fundus images;image analysis;microaneurysm detection;microaneurysms;randomly sliding window operation;retina blood vessels;softmax classifier;stacked sparse autoencoder;working-age population","","1","","","","","","27-29 June 2016","","IEEE","IEEE Conference Publications"
"Deep neural network and random forest hybrid architecture for learning to detect retinal vessels in fundus images","D. Maji; A. Santara; S. Ghosh; D. Sheet; P. Mitra","Indian Institute of Technology Kharagpur, WB 721302, India","2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20151105","2015","","","3029","3032","Vision impairment due to pathological damage of the retina can largely be prevented through periodic screening using fundus color imaging. However the challenge with large-scale screening is the inability to exhaustively detect fine blood vessels crucial to disease diagnosis. In this work we present a computational imaging framework using deep and ensemble learning based hybrid architecture for reliable detection of blood vessels in fundus color images. A deep neural network (DNN) is used for unsupervised learning of vesselness dictionaries using sparse trained denoising auto-encoders (DAE), followed by supervised learning of the DNN response using a random forest for detecting vessels in color fundus images. In experimental evaluation with the DRIVE database, we achieve the objective of vessel detection with max. avg. accuracy of 0.9327 and area under ROC curve of 0.9195.","1094-687X;1094687X","DVD:978-1-4244-9270-1; Electronic:978-1-4244-9271-8; POD:978-1-4244-9269-5","10.1109/EMBC.2015.7319030","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7319030","Computational imaging;deep learning;denoising auto-encoder;random forests;vessel detection","Biomedical imaging;Image analysis;Radio frequency;Retinal vessels;Vegetation","biomedical optical imaging;blood vessels;diseases;eye;image denoising;learning (artificial intelligence);medical image processing;vision defects","DNN response;DRIVE database;ROC curve;blood vessels;computational imaging framework;deep network;deep neural network;disease diagnosis;fundus color imaging;large-scale screening;learning based hybrid architecture;pathological damage;periodic screening;random forest hybrid architecture;retinal vessel detection;sparse trained denoising autoencoders;unsupervised learning;vision impairment","","1","","16","","","","25-29 Aug. 2015","","IEEE","IEEE Conference Publications"
"Multi-stage segmentation of the fovea in retinal fundus images using fully Convolutional Neural Networks","S. Sedai; R. Tennakoon; P. Roy; K. Cao; R. Garnavi","IBM Research - Australia, Melbourne, VIC, Australia","2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017)","20170619","2017","","","1083","1086","The fovea is one of the most important anatomical landmarks in the eye and its localization is required in automated analysis of retinal diseases due to its role in sharp central vision. In this paper, we propose a two-stage deep learning framework for accurate segmentation of the fovea in retinal colour fundus images. In the first stage, coarse segmentation is performed to localize the fovea in the fundus image. The location information from the first stage is then used to perform fine-grained segmentation of the fovea region in the second stage. The proposed method performs end-to-end pixelwise segmentation by creating a deep learning model based on fully convolutional neural networks, which does not require the prior knowledge of the location of other retinal structures such as optic disc (OD) and vasculature geometry. We demonstrate the effectiveness of our method on a dataset with 400 retinal images with average localization error of 14 ± 7 pixels.","","Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5","10.1109/ISBI.2017.7950704","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950704","Convolution neural network;Fovea Segmentation;Retinal Imaging","Convolution;Image segmentation;Machine learning;Neural networks;Optical imaging;Retina;Training","biomedical optical imaging;eye;image segmentation;medical image processing;neural nets","end-to-end pixelwise segmentation;fovea;fully convolutional neural networks;multistage segmentation;optic disc;retinal colour fundus images;retinal structures;two-stage deep learning framework;vasculature geometry","","","","","","","","18-21 April 2017","","IEEE","IEEE Conference Publications"
"Automatic Feature Learning Method for Detection of Retinal Landmarks","B. Al-Bander; W. Al-Nuaimy; M. A. Al-Taee; A. Al-Ataby; Y. Zheng","","2016 9th International Conference on Developments in eSystems Engineering (DeSE)","20170518","2016","","","13","18","This paper presents an automatic deep learning method for location detection of important retinal landmarks, the fovea and optic disc (OD) in digital fundus retinal images with the potential for use in an automated screening and grading system. The proposed method is based on deep convolutional neural networks (CNN) and does not depend the visual appearance or anatomical features of the retinal landmarks. It comprises convolution, max-pooling, fully connected and dropout layers as well as an output layer. The CNN is trained using an existing dataset images along with their annotated locations of the foveal and OD centres. Performance of the network is evaluated using Root Mean Square Error (RMSE). The developed feature learning-based approach presents promising system for retinal landmarks detection.","","Electronic:978-1-5090-5487-9; POD:978-1-5090-5488-6","10.1109/DeSE.2016.4","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930616","Automatic feature learning;automated grading;convolutional neural network;deep learning;retinal landmarks","Adaptive optics;Feature extraction;Neural networks;Optical filters;Optical imaging;Retina;Training","","","","","","","","","","Aug. 31 2016-Sept. 2 2016","","IEEE","IEEE Conference Publications"
"Augmenting data when training a CNN for retinal vessel segmentation: How to warp?","A. Oliveira; S. Pereira; C. A. Silva","CMEMS-UMinho Research Unit, University of Minho, Guimar&#x00E3;es, Portugal","2017 IEEE 5th Portuguese Meeting on Bioengineering (ENBENG)","20170330","2017","","","1","4","The retinal vascular condition is a trustworthy biomarker of several ophthalmologic and cardiovascular diseases, so automatic vessel segmentation is a crucial step to diagnose and monitor these problems. Deep Learning models have recently revolutionized the state-of-the-art in several fields, since they can learn features with multiple levels of abstraction from the data itself. However, these methods can easily fall into overfitting, since a huge number of parameters must be learned. Having bigger datasets may act as regularization and lead to better models. Yet, acquiring and manually annotating images, especially in the medical field, can be a long and costly procedure. Hence, when using regular datasets, people heavily need to apply artificial data augmentation. In this work, we use a fully convolutional neural network capable of reaching the state-of-the-art. Also, we investigate the benefits of augmenting data with new samples created by warping retinal fundus images with nonlinear transformations. Our results hint that may be possible to halve the amount of data, while maintaining the same performance.","","Electronic:978-1-5090-4801-4; POD:978-1-5090-4802-1","10.1109/ENBENG.2017.7889443","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7889443","Convolutional neural network;Data augmentation;Retinal blood vessel segmentation","Data mining;Image segmentation;Neural networks;Retinal vessels;Training;Two dimensional displays","biomedical optical imaging;blood vessels;cardiovascular system;diseases;eye;image segmentation;learning (artificial intelligence);medical image processing;neural nets;vision defects","CNN;artificial data augmentation;automatic vessel segmentation;biomarker;cardiovascular diseases;deep Learning models;fully convolutional neural network;medical field;nonlinear transformations;ophthalmologic diseases;regular datasets;retinal fundus images;retinal vascular condition;retinal vessel segmentation","","","","","","","","16-18 Feb. 2017","","IEEE","IEEE Conference Publications"
"Retinal vessel segmentation via deep learning network and fully-connected conditional random fields","H. Fu; Y. Xu; D. W. K. Wong; J. Liu","Ocular Imaging Department, Institute for Infocomm Research, Agency for Science, Technology and Research (A&#8727;STAR), Singapore","2016 IEEE 13th International Symposium on Biomedical Imaging (ISBI)","20160616","2016","","","698","701","Vessel segmentation is a key step for various medical applications. This paper introduces the deep learning architecture to improve the performance of retinal vessel segmentation. Deep learning architecture has been demonstrated having the powerful ability in automatically learning the rich hierarchical representations. In this paper, we formulate the vessel segmentation to a boundary detection problem, and utilize the fully convolutional neural networks (CNNs) to generate a vessel probability map. Our vessel probability map distinguishes the vessels and background in the inadequate contrast region, and has robustness to the pathological regions in the fundus image. Moreover, a fully-connected Conditional Random Fields (CRFs) is also employed to combine the discriminative vessel probability map and long-range interactions between pixels. Finally, a binary vessel segmentation result is obtained by our method. We show that our proposed method achieve a state-of-the-art vessel segmentation performance on the DRIVE and STARE datasets.","","Electronic:978-1-4799-2349-6; POD:978-1-4799-2351-9","10.1109/ISBI.2016.7493362","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7493362","Conditional Random Fields;Convolutional Neural Networks;Vessel segmentation","Computer architecture;Image segmentation;Machine learning;Neural networks;Pathology;Retinal vessels","blood vessels;eye;image segmentation;medical image processing;neural nets","DRIVE dataset;STARE dataset;binary vessel segmentation;boundary detection;convolutional neural networks;deep learning network;fully-connected conditional random fields;fundus image;pathological region;retinal vessel segmentation;vessel probability map","","3","","18","","","","13-16 April 2016","","IEEE","IEEE Conference Publications"
"Deep vessel tracking: A generalized probabilistic approach via deep learning","A. Wu; Z. Xu; M. Gao; M. Buty; D. J. Mollura","Department of Radiology and Imaging Sciences, National Institutes of Health, Bethesda, MD 20892","2016 IEEE 13th International Symposium on Biomedical Imaging (ISBI)","20160616","2016","","","1363","1367","Analysis of vascular geometry is important in many medical imaging applications, such as retinal, pulmonary, and cardiac investigations. In order to make reliable judgments for clinical usage, accurate and robust segmentation methods are needed. Due to the high complexity of biological vasculature trees, manual identification is often too time-consuming and tedious to be used in practice. To design an automated and computerized method, a major challenge is that the appearance of vasculatures in medical images has great variance across modalities and subjects. Therefore, most existing approaches are specially designed for a particular task, lacking the flexibility to be adapted to other circumstances. In this paper, we present a generic approach for vascular structure identification from medical images, which can be used for multiple purposes robustly. The proposed method uses the state-of-the-art deep convolutional neural network (CNN) to learn the appearance features of the target. A Principal Component Analysis (PCA)-based nearest neighbor search is then utilized to estimate the local structure distribution, which is further incorporated within the generalized probabilistic tracking framework to extract the entire connected tree. Qualitative and quantitative results over retinal fundus data demonstrate that the proposed framework achieves comparable accuracy as compared with state-of-the-art methods, while efficiently producing more information regarding the candidate tree structure.","","Electronic:978-1-4799-2349-6; POD:978-1-4799-2351-9","10.1109/ISBI.2016.7493520","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7493520","Deep Learning;Generalized Probabilistic Tracking;Nearest Neighbor Search;Principal Component Analysis;Vascular Structure","Biomedical imaging;Dictionaries;Image segmentation;Machine learning;Probabilistic logic;Robustness","","","","1","","10","","","","13-16 April 2016","","IEEE","IEEE Conference Publications"
